year,site_code,site_name,pollutant_number,pollutant_name,average_aqi_fire_season
1998,46,NEAR ILLINIOS CENTRAL RAIL AND MEMPHIS LIGHT AND GAS SUBSTATION,42401,Sulfur dioxide,9.119565217391305
1998,46,NEAR ILLINIOS CENTRAL RAIL AND MEMPHIS LIGHT AND GAS SUBSTATION,81102,PM10 Total 0-10um STP,25.814814814814813
1998,1004,Edmund Orgill Park Ozone,44201,Ozone,86.53249097472924
1999,16,Gas Service Center collocated PM 10s,81102,PM10 Total 0-10um STP,27.607142857142858
1999,21,Frayser Ozone Monitor,42101,Carbon monoxide,9.402234636871508
1999,21,Frayser Ozone Monitor,44201,Ozone,74.67985611510791
1999,24,Alabama Ave. Station,42101,Carbon monoxide,15.395604395604396
1999,24,Alabama Ave. Station,42602,Nitrogen dioxide (NO2),38.992537313432834
1999,24,Alabama Ave. Station,81102,PM10 Total 0-10um STP,26.17241379310345
1999,46,NEAR ILLINIOS CENTRAL RAIL AND MEMPHIS LIGHT AND GAS SUBSTATION,42401,Sulfur dioxide,11.584699453551913
1999,46,NEAR ILLINIOS CENTRAL RAIL AND MEMPHIS LIGHT AND GAS SUBSTATION,81102,PM10 Total 0-10um STP,23.071428571428573
1999,47,GUTHRIE CLINIC PM 2.5,88101,PM2.5 - Local Conditions,66.96794871794872
1999,1004,Edmund Orgill Park Ozone,44201,Ozone,85.16847826086956
2000,16,Gas Service Center collocated PM 10s,81102,PM10 Total 0-10um STP,29.586206896551722
2000,21,Frayser Ozone Monitor,42101,Carbon monoxide,10.168478260869565
2000,21,Frayser Ozone Monitor,44201,Ozone,66.4014466546112
2000,24,Alabama Ave. Station,42101,Carbon monoxide,14.208860759493671
2000,24,Alabama Ave. Station,42602,Nitrogen dioxide (NO2),43.15686274509804
2000,24,Alabama Ave. Station,81102,PM10 Total 0-10um STP,26.46794871794872
2000,46,NEAR ILLINIOS CENTRAL RAIL AND MEMPHIS LIGHT AND GAS SUBSTATION,42401,Sulfur dioxide,10.505434782608695
2000,46,NEAR ILLINIOS CENTRAL RAIL AND MEMPHIS LIGHT AND GAS SUBSTATION,81102,PM10 Total 0-10um STP,25.5
2000,47,GUTHRIE CLINIC PM 2.5,88101,PM2.5 - Local Conditions,67.27272727272727
2000,1004,Edmund Orgill Park Ozone,44201,Ozone,76.96153846153847
2000,1004,Edmund Orgill Park Ozone,88101,PM2.5 - Local Conditions,60.625
2001,16,Gas Service Center collocated PM 10s,81102,PM10 Total 0-10um STP,24.225806451612904
2001,21,Frayser Ozone Monitor,44201,Ozone,58.482820976491865
2001,24,Alabama Ave. Station,42101,Carbon monoxide,10.725274725274724
