year,fire_year,total_amortized_smoke_impact,total_fire_duration,total_acres_burned,avg_daily_smoke_impact,scaled_avg_daily_smoke_impact
2002,2002.0,0.0082196571120151,4379.172367685352,438247.3507973142,1.8769887142761024e-06,18.769887142761025
2003,2003.0,0.0135745774491155,4677.512116652179,531549.6735056158,2.9020934870033533e-06,29.020934870033532
2004,2004.0,0.0119187108059058,4849.702021178473,556049.59306258,2.457617138920544e-06,24.57617138920544
2005,2005.0,0.0252223411023473,7388.005219667517,984572.9695335,3.413958213673602e-06,34.13958213673602
2006,2006.0,0.0299350318118466,9594.415334744665,1839423.7862023928,3.1200475242552464e-06,31.200475242552464
2007,2007.0,0.0356987175144139,11290.665184568885,1797468.3600502508,3.161790464144122e-06,31.617904641441218
2008,2008.0,0.0348300598264372,11022.961204676163,1599402.1530526474,3.159773420200523e-06,31.59773420200523
2009,2009.0,0.0508357515792959,13075.397111157936,3640434.0699423663,3.887893510776439e-06,38.878935107764384
2010,2010.0,0.0406828898973788,13383.166371988507,1601697.4963371544,3.039855350115776e-06,30.39855350115776
2011,2011.0,0.0756633044748434,27354.36854043128,4859569.981645179,2.7660409840208475e-06,27.660409840208473
2012,2012.0,0.0367377302848819,12603.941000284096,1386610.4664892545,2.91478120090009e-06,29.147812009000898
2013,2013.0,0.0327259754377773,9942.387173298242,1145473.457565844,3.2915611580353466e-06,32.91561158035346
2014,2014.0,0.0649561120480022,13832.618659920969,3049966.406114235,4.6958651608178815e-06,46.95865160817881
2015,2015.0,0.0505448862916408,13145.927389123,2303846.769351892,3.844908373178897e-06,38.44908373178897
2016,2016.0,0.0756835417881047,18349.68577308272,3800290.841564511,4.124514322698942e-06,41.24514322698942
2017,2017.0,0.0513075589180243,13235.711930294729,3867709.473362885,3.8764487462581e-06,38.764487462580995
2018,2018.0,0.0524206663733517,14559.287147052222,2453311.273688314,3.600496771846776e-06,36.00496771846776
2019,2019.0,0.0237781693764216,10876.617296138307,857168.6891018213,2.1861732125910144e-06,21.861732125910144
2020,2020.0,0.0220780372215027,10869.715481013222,779953.4893835373,2.031151345227737e-06,20.311513452277367
2021,,,,,,
